County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
".Gloucester County, Virginia","36,940","36,889","36,838","36,768","37,024","37,010","37,114","37,295","37,341","37,348","38,724","39,184","39,546","40,024","40,154"
".Goochland County, Virginia","21,744","21,374","21,273","21,565","21,849","22,165","22,485","22,703","23,219","23,753","24,873","25,556","26,184","27,216","28,223"
".Grayson County, Virginia","15,497","15,366","15,143","15,128","15,922","15,959","15,867","15,697","15,635","15,550","15,279","15,347","15,310","15,235","15,265"
".Greene County, Virginia","18,457","18,667","18,803","18,848","19,105","19,183","19,309","19,593","19,692","19,819","20,608","21,007","21,026","21,391","21,744"
".Greensville County, Virginia","12,234","12,001","11,745","11,689","11,564","11,786","11,500","11,569","11,432","11,336","11,396","11,424","11,232","11,174","11,150"
".Halifax County, Virginia","36,206","36,000","35,738","35,386","35,204","35,103","34,990","34,575","34,181","33,911","33,928","33,784","33,599","33,434","33,448"
".Hanover County, Virginia","99,902","99,908","100,339","101,065","101,724","103,071","104,290","105,674","106,886","107,766","110,207","111,799","112,889","114,193","115,309"
".Henrico County, Virginia","307,253","310,430","315,587","318,640","321,835","324,375","325,931","327,559","328,993","330,818","334,939","334,501","334,855","335,729","338,696"
".Henry County, Virginia","54,135","53,552","53,112","52,748","52,237","51,940","51,645","51,346","51,050","50,557","50,848","50,268","49,765","49,636","49,385"
".Highland County, Virginia","2,297","2,260","2,234","2,205","2,238","2,196","2,210","2,217","2,208","2,190","2,240","2,240","2,303","2,351","2,348"
".Isle of Wight County, Virginia","35,316","35,296","35,343","35,526","35,865","36,159","36,326","36,571","36,972","37,109","38,710","39,401","40,149","40,667","40,942"
".James City County, Virginia","67,661","68,297","69,409","70,612","72,064","72,819","73,930","75,274","76,033","76,523","78,487","80,009","81,426","82,346","82,797"
".King and Queen County, Virginia","6,976","6,987","7,009","7,029","7,082","7,085","7,054","6,999","7,045","7,025","6,589","6,672","6,721","6,746","6,747"
".King George County, Virginia","23,696","24,273","24,606","24,897","25,260","25,414","25,947","26,337","26,612","26,836","26,827","27,548","27,867","28,422","28,816"
".King William County, Virginia","15,999","16,014","15,977","16,092","16,149","16,282","16,405","16,684","16,919","17,148","17,922","18,249","18,528","19,035","19,232"
".Lancaster County, Virginia","11,362","11,275","11,125","10,959","10,861","10,825","10,771","10,725","10,696","10,603","10,905","10,943","10,838","10,927","11,062"
".Lee County, Virginia","25,605","25,544","25,428","25,080","24,724","24,595","24,165","23,900","23,656","23,423","22,107","22,009","21,842","21,761","21,780"
".Loudoun County, Virginia","315,478","326,327","337,847","349,915","362,206","374,014","385,546","397,049","405,522","413,538","422,723","428,827","432,897","437,164","443,380"
".Louisa County, Virginia","33,309","33,465","33,494","33,987","34,310","34,611","35,304","35,912","36,784","37,591","37,784","39,011","39,986","41,008","42,109"
".Lunenburg County, Virginia","12,910","12,911","12,638","12,532","12,482","12,348","12,319","12,333","12,215","12,196","11,950","12,007","12,020","12,042","12,060"
".Madison County, Virginia","13,300","13,141","13,132","13,090","13,030","13,047","13,081","13,212","13,248","13,261","13,861","13,959","14,013","14,135","14,252"
".Mathews County, Virginia","8,974","8,944","8,911","8,898","8,813","8,834","8,769","8,709","8,792","8,834","8,519","8,545","8,467","8,568","8,602"
".Mecklenburg County, Virginia","32,708","32,560","31,686","31,239","31,104","30,922","30,813","30,693","30,624","30,587","30,283","30,338","30,511","30,622","30,824"
".Middlesex County, Virginia","10,980","10,854","10,850","10,781","10,657","10,686","10,749","10,625","10,733","10,582","10,611","10,778","10,958","10,938","10,949"
